Protein Details,Gene Name,SCC count,SCC proportion,SCC mean,SCC std,SCC UNIQUE,Keratosis count,Keratosis proportion,Keratosis mean,Keratosis std,Keratosis UNIQUE,Proportion Direction,Fold Change,Log2 Fold Change,Fold Change Direction,Proportion STAT,Proportion Pvalue,BH-corrected Proportion Pvalue,Proportion Rank,StudentT STAT,StudentT Pvalue,BH-corrected StudentT Pvalue,StudentT Rank,MannWhitneyU STAT,MannWhitneyU Pvalue,BH-corrected MannWhitneyU Pvalue,MannWhitneyU Rank,Minimal Pvalue,BH-corrected Minimal Pvalue,is 5% Significant?,Minimal Rank
"Q04695 (gene KRT17):  Keratin, type I cytoskeletal 17",KRT17,63,1.0,107670603.41269842,248611590.50737423,False,18,0.8571428571428571,39171714.76190476,90351325.89793386,False,1.0,2.7486824119685305,1.4587402247313028,1.0,3.0550504633038953,0.0022502265680857773,0.024232584305414914,524.0,1.2209096170461124,0.22561925228063312,0.6120777359985798,2196.0,935.0,0.00480007482045647,0.03443694533040913,831.0,0.0022502265680857773,0.05845363587169752,False,524.0
P06702 (gene S100A9):  Protein S100-A9,S100A9,63,1.0,1465879522.142857,1899612790.0440586,False,19,0.9047619047619048,83070160.33333333,163033874.8664316,False,1.0,17.6462825671787,4.141292386782443,1.0,2.4791816116240106,0.013168423736182962,0.06361361620248385,1235.0,3.2918622138054845,0.001469447533533379,0.6004224641126419,3.0,1097.0,7.003495952874529e-06,0.010513327767243235,2.0,7.003495952874529e-06,0.013344692300807013,True,2.0
P01857 (gene IGHG1):  Immunoglobulin heavy constant gamma 1,IGHG1,60,0.9523809523809523,855128583.2857143,997682191.4773033,False,18,0.8571428571428571,268493389.85714287,524495574.85340333,False,1.0,3.1849148455412584,1.671254799936001,1.0,1.4675987714106857,0.1422132419363924,0.2923653347320874,2777.5,2.5475142980238963,0.012716842180873758,0.6004224641126419,53.0,973.5,0.0012892046552796406,0.023625754005688483,320.0,0.0012892046552796406,0.045976639670740116,True,53.0
P07355;A6NMY6 (gene ANXA2;ANXA2P2):  Annexin A2; Putative annexin A2-like protein,ANXA2;ANXA2P2,60,0.9523809523809523,110793842.44444445,192274591.27298203,False,17,0.8095238095238095,31361111.476190478,62133124.145360075,False,1.0,3.5328417020090694,1.8208291070426326,1.0,2.051290376273482,0.04023867711975948,0.1289972851673751,1859.5,1.8387581094147858,0.0695709539096103,0.6004224641126419,533.0,945.0,0.0034531475033909064,0.029800681117803644,691.0,0.0034531475033909064,0.0714390461900235,False,533.0
P05109 (gene S100A8):  Protein S100-A8,S100A8,61,0.9682539682539683,1023320899.031746,1606136862.3692093,False,17,0.8095238095238095,60115224.28571428,127142550.4272716,False,1.0,17.02265792385823,4.089384412415815,1.0,2.445997952351143,0.014445182089611803,0.0660382807253824,1304.0,2.7124410649833703,0.008136170733915106,0.6004224641126419,33.0,1042.0,8.633285007737075e-05,0.017998412637411653,21.0,8.633285007737075e-05,0.018994842488035468,True,21.0
Q09666 (gene AHNAK):  Neuroblast differentiation-associated protein AHNAK,AHNAK,61,0.9682539682539683,5902278.816825396,11538799.643973475,False,18,0.8571428571428571,827882.4733333334,1607327.720030901,False,1.0,7.12936800443873,2.83377419205851,1.0,1.863710739765962,0.062362336380038776,0.17434568830520702,2125.5,1.984726688237123,0.05051885079846976,0.6004224641126419,330.0,944.0,0.0035756083644031262,0.03034435206547518,703.0,0.0035756083644031262,0.07280573208883634,False,330.0
P08670 (gene VIM):  Vimentin,VIM,58,0.9206349206349206,127326608.15873016,314505059.09819776,False,19,0.9047619047619048,103481260.71428572,235114132.6931459,False,1.0,1.2304315513731592,0.2991644032319267,1.0,0.22792115291927503,0.819707537829789,0.9455481768547024,5171.0,0.31517966521368773,0.7534259253433233,0.8791197087029663,5113.0,814.0,0.11627358559168356,0.25070047402962925,2767.0,0.11627358559168356,0.7066587194187045,False,2767.0
P35579 (gene MYH9):  Myosin-9,MYH9,60,0.9523809523809523,24763105.62063492,49316577.759977594,False,20,0.9523809523809523,25584417.06190476,60341068.62776814,False,0.0,0.967897981052938,-0.04707310315755873,-1.0,0.0,1.0,1.0,5611.5,-0.06158685175414481,0.951041712928457,1.0,5319.0,906.5,0.011542919773490036,0.05416180131334265,1244.0,0.011542919773490036,0.1449794978549083,False,1244.0
P04406 (gene GAPDH):  Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,62,0.9841269841269841,256420367.34920636,340398293.3583985,False,20,0.9523809523809523,133805891.47619048,274627851.57558566,False,1.0,1.9163608158078158,0.9383692198260568,1.0,0.826393870541337,0.40858069932465024,0.5641269271397509,4320.0,1.478399982454396,0.14313185637883466,0.6004224641126419,1377.0,943.5,0.0036384622124496944,0.03050745554984367,708.0,0.0036384622124496944,0.07336178761116197,False,708.0
P02461 (gene COL3A1):  Collagen alpha-1(III) chain,COL3A1,48,0.7619047619047619,469610.2968253969,744387.1510071267,False,8,0.38095238095238093,79883.37142857144,245838.76108875597,False,1.0,5.878699013591649,2.5554969145325503,1.0,3.2071349029490923,0.0013406411172294783,0.018643974138440718,422.0,2.3285410144273175,0.02234622066980492,0.6004224641126419,106.0,990.5,0.0005442438336350295,0.019624913836310803,158.0,0.0005442438336350295,0.031963664027775576,True,106.0
P68871 (gene HBB):  Hemoglobin subunit beta,HBB,62,0.9841269841269841,2713607898.6507936,4998123456.550628,False,21,1.0,449932876.6666667,1361163725.5733297,False,-1.0,6.031139397402087,2.5924305805165586,1.0,-0.5808178695515187,0.5613632102341217,0.6882640592389606,4507.5,2.0257272803243476,0.046044854293459274,0.6004224641126419,287.0,994.0,0.0006045446257547177,0.019624913836310803,179.0,0.0006045446257547177,0.031963664027775576,True,179.0
P23527 (gene H2BC17):  Histone H2B type 1-O,H2BC17,38,0.6031746031746031,41710953.96825397,94588101.0714479,False,10,0.47619047619047616,3461679.8095238097,9381332.887509204,False,1.0,12.049339125324737,3.5908821154701482,1.0,1.0183501544346312,0.30851158133872325,0.47881896312872607,3728.5,1.8279014261671929,0.07120138791810729,0.6004224641126419,553.0,843.5,0.05078365904646101,0.14743324081322937,2055.0,0.05078365904646101,0.405893285931081,False,553.0
P02787 (gene TF):  Serotransferrin,TF,60,0.9523809523809523,496618134.74920636,769405118.5554216,False,19,0.9047619047619048,137530851.7142857,270814952.1299265,False,1.0,3.6109580400251216,1.8523816560108985,1.0,0.798733174185411,0.4244451464992587,0.5829281178670758,4343.5,2.0707833644288676,0.041524462578136544,0.6004224641126419,253.0,960.0,0.0020793508764691965,0.02518405555604634,492.0,0.0020793508764691965,0.056905538206491864,False,253.0
P15924 (gene DSP):  Desmoplakin,DSP,62,0.9841269841269841,16012059.034920637,32520420.194332357,False,21,1.0,6963552.742857142,9031277.602687275,False,-1.0,2.2994094575276525,1.2012633906956303,1.0,-0.5808178695515187,0.5613632102341217,0.6882640592389606,4507.5,1.2439010853268997,0.21708016125021223,0.6092271796292551,2122.0,841.0,0.06444714220051692,0.1726500450688298,2227.0,0.06444714220051692,0.48404320231005116,False,2122.0
"P08779 (gene KRT16):  Keratin, type I cytoskeletal 16",KRT16,63,1.0,208190141.06349206,482627584.73617595,False,21,1.0,97443298.33333333,206646045.73297277,False,0.0,2.136526006655836,1.095266878191527,1.0,0.0,1.0,1.0,5611.5,1.0085932199766305,0.31613672740639703,0.633940876463151,2972.0,885.0,0.02124539656691148,0.08083548209068488,1568.0,0.02124539656691148,0.2187860228737524,False,1568.0
P68104;Q5VTE0 (gene EEF1A1;EEF1A1P5):  Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,61,0.9682539682539683,126037962.15873016,200677338.48283592,False,15,0.7142857142857143,41314206.666666664,86521959.26043542,False,1.0,3.050717230894275,1.6091484635965887,1.0,3.4335803011158084,0.0005956657341092413,0.012520526356556025,273.5,1.8549364499043568,0.06719933093128999,0.6004224641126419,507.0,986.0,0.0008129392601887653,0.020493004649043894,229.0,0.0005956657341092413,0.031963664027775576,True,229.0
P31947 (gene SFN):  14-3-3 protein sigma,SFN,57,0.9047619047619048,184104915.23809522,338320324.8478021,False,16,0.7619047619047619,201523031.76190478,480510575.13242143,False,1.0,0.9135676137286898,-0.13041658729210603,-1.0,1.6805976521000163,0.09284109218644856,0.22253513699652613,2486.0,-0.18025187883892935,0.8573995544161224,0.9773109938186064,5234.0,939.0,0.004175255821114693,0.0321413886822842,775.0,0.004175255821114693,0.07787221609243093,False,775.0
P51884 (gene LUM):  Lumican,LUM,55,0.873015873015873,35182728.93650793,67361010.77328083,False,18,0.8571428571428571,7778153.80952381,13324400.360176483,False,1.0,4.523275033906452,2.1773677204861115,1.0,0.18673307245555795,0.8518699240954802,0.9767933821167861,5192.0,1.8301117152351623,0.0708668897281125,0.6004224641126419,546.0,836.0,0.07195085642751266,0.18297476958505562,2346.0,0.0708668897281125,0.5075532582448009,False,546.0
P06733 (gene ENO1):  Alpha-enolase,ENO1,61,0.9682539682539683,331435088.1904762,507366478.6472908,False,16,0.7619047619047619,86237414.38095239,175201193.74555755,False,1.0,3.843286473390345,1.9423405169513366,1.0,2.9629749879505867,0.0030468132560736378,0.02720303181304197,653.5,2.1458905781517146,0.03483825070213532,0.6004224641126419,191.0,1001.0,0.0004602730919834356,0.019624913836310803,135.0,0.0004602730919834356,0.029152279106980067,True,135.0
P07585 (gene DCN):  Decorin,DCN,46,0.7301587301587301,9187516.977777777,32388134.1225247,False,12,0.5714285714285714,509194.61904761905,928307.1413824033,False,1.0,18.043232654233,4.173385932173832,1.0,1.3626312508266654,0.1729987546901416,0.34108082302755605,3019.5,1.2130182222522579,0.22860571990438688,0.6120777359985798,2222.0,898.5,0.013136450230029064,0.05932782897225844,1321.0,0.013136450230029064,0.15754575403088356,False,1321.0
P11142 (gene HSPA8):  Heat shock cognate 71 kDa protein,HSPA8,58,0.9206349206349206,97167303.95079364,164605644.8615317,False,19,0.9047619047619048,45443736.94285714,104589816.23879793,False,1.0,2.138189121043759,1.0963894638746765,1.0,0.22792115291927503,0.819707537829789,0.9455481768547024,5171.0,1.3356843846078796,0.18534800515219224,0.6004224641126419,1837.0,941.0,0.00394040687326651,0.031178338734625992,754.0,0.00394040687326651,0.07518699596772281,False,754.0
P12111 (gene COL6A3):  Collagen alpha-3(VI) chain,COL6A3,59,0.9365079365079365,1655264.7360317458,3613818.77774247,False,19,0.9047619047619048,77645.74285714286,109910.53729281295,False,1.0,21.31816471967922,4.4140113367468095,1.0,0.4891995904702286,0.6247003994441909,0.7507982641184614,4943.5,1.9762675626455035,0.051486707217636304,0.6004224641126419,342.0,988.0,0.0007566509852295767,0.020493004649043894,216.0,0.0007566509852295767,0.03517542684062069,True,216.0
P14618 (gene PKM):  Pyruvate kinase PKM,PKM,61,0.9682539682539683,127303374.3015873,183105046.96575737,False,16,0.7619047619047619,79894157.73333333,170290099.8833858,False,1.0,1.5934002925031445,0.6721087448692588,1.0,2.9629749879505867,0.0030468132560736378,0.02720303181304197,653.5,1.032831601450331,0.30471930060505964,0.63099323648769,2881.0,957.0,0.00230200804771165,0.026182772924158278,519.0,0.00230200804771165,0.05875008119688017,False,519.0
P01876 (gene IGHA1):  Immunoglobulin heavy constant alpha 1,IGHA1,57,0.9047619047619048,487507694.47619045,891392923.4920826,False,14,0.6666666666666666,171630447.23809522,358349237.1824985,False,1.0,2.840449945340351,1.5061194799042565,1.0,2.6125789552470535,0.008986193302671863,0.05086492338115781,1050.0,1.5629043836626315,0.12192638918831734,0.6004224641126419,1172.0,960.0,0.0020421385481304045,0.02518405555604634,479.0,0.0020421385481304045,0.05597273466223274,False,479.0
P14923 (gene JUP):  Junction plakoglobin,JUP,60,0.9523809523809523,14039399.936507937,26505253.476352498,False,20,0.9523809523809523,9029308.38095238,11177838.732376412,False,0.0,1.5548699129739496,0.6367938834053762,1.0,0.0,1.0,1.0,5611.5,0.8315428249958733,0.4080819958192423,0.6708782549070267,3629.0,783.5,0.209420251066337,0.3767796193793023,3316.0,0.209420251066337,1.0,False,3316.0
P62937 (gene PPIA):  Peptidyl-prolyl cis-trans isomerase A,PPIA,61,0.9682539682539683,377450690.06349206,733607435.3422819,False,16,0.7619047619047619,46749327.9047619,87845356.7505075,False,1.0,8.07392762592073,3.013270654666673,1.0,2.9629749879505867,0.0030468132560736378,0.02720303181304197,653.5,2.0361688616611153,0.04496129652951736,0.6004224641126419,281.0,1005.0,0.0003938028724989272,0.019624913836310803,110.0,0.0003938028724989272,0.02747487755942583,True,110.0
P63104 (gene YWHAZ):  14-3-3 protein zeta/delta,YWHAZ,57,0.9047619047619048,235956060.97142857,425461441.45335495,False,16,0.7619047619047619,206484845.80952382,477706934.6317336,False,1.0,1.1427282232086413,0.19248232599226092,1.0,1.6805976521000163,0.09284109218644856,0.22253513699652613,2486.0,0.2631699260622047,0.7930797531560781,0.917138334824503,5158.0,925.0,0.00653161794961646,0.03973024095798852,978.5,0.00653161794961646,0.10134911643533091,False,978.5
P01834 (gene IGKC):  Immunoglobulin kappa constant,IGKC,62,0.9841269841269841,1084066713.5079365,1364323492.283144,False,15,0.7142857142857143,511643465.2380952,1001681203.3960106,False,1.0,2.11879323623035,1.0832428082766756,1.0,3.8746595996276887,0.00010677384666609059,0.0074137516484632324,84.0,1.7490187865070161,0.0840296480940152,0.6004224641126419,734.0,956.0,0.002382426943899091,0.02632269224761395,536.0,0.00010677384666609059,0.019585246544230956,True,84.0
P47929 (gene LGALS7B):  Galectin-7,LGALS7B,60,0.9523809523809523,216688343.17460316,447984317.90283716,False,18,0.8571428571428571,108373588.14285715,234916565.86178806,False,1.0,1.9994571268505423,0.999608346642795,1.0,1.4675987714106857,0.1422132419363924,0.2923653347320874,2777.5,1.0477508429222382,0.29783190060678577,0.630987852821247,2804.0,912.5,0.00964988165272835,0.04967316129437216,1159.0,0.00964988165272835,0.13025157000040122,False,1159.0
P0DOY2 (gene IGLC2):  Immunoglobulin lambda constant 2,IGLC2,60,0.9523809523809523,449174216.50793654,790549714.4994087,False,16,0.7619047619047619,149302461.33333334,313090723.76044333,False,1.0,3.008485007525128,1.5890371672636807,1.0,2.575185225836856,0.010018641854584457,0.053722720862051154,1106.5,1.674237333807212,0.09789430228760188,0.6004224641126419,909.0,961.5,0.0019670810363012427,0.02518405555604634,461.0,0.0019670810363012427,0.054584211453828906,False,461.0
P68363 (gene TUBA1B):  Tubulin alpha-1B chain,TUBA1B,60,0.9523809523809523,99434395.85714285,172361078.55750215,False,16,0.7619047619047619,57790080.666666664,132155336.28084281,False,1.0,1.7206135501121549,0.7829231043841492,1.0,2.575185225836856,0.010018641854584457,0.053722720862051154,1106.5,1.0003107482044535,0.32010290721950246,0.6341077856526139,3009.0,956.5,0.0023385441674905597,0.026285902148025075,530.0,0.0023385441674905597,0.05920122137163513,False,530.0
P04075 (gene ALDOA):  Fructose-bisphosphate aldolase A,ALDOA,57,0.9047619047619048,184682428.03174603,297365989.4622619,False,14,0.6666666666666666,72567244.76190476,142041552.41165012,False,1.0,2.5449833273633566,1.3476562049811305,1.0,2.6125789552470535,0.008986193302671863,0.05086492338115781,1050.0,1.6456325135003256,0.10366745335494822,0.6004224641126419,980.0,950.0,0.002877373773840925,0.02723864327857053,630.0,0.002877373773840925,0.065024138181326,False,630.0
P31151 (gene S100A7):  Protein S100-A7,S100A7,61,0.9682539682539683,604947554.8095238,1352138860.4003143,False,18,0.8571428571428571,94475983.33333333,175862273.50646892,False,1.0,6.403188762535778,2.67879054045847,1.0,1.863710739765962,0.062362336380038776,0.17434568830520702,2125.5,1.704536089455598,0.09206738576654463,0.6004224641126419,834.0,967.0,0.0016272603540836044,0.024097870004726907,402.0,0.0016272603540836044,0.04876668922039059,True,402.0
P02545 (gene LMNA):  Prelamin-A/C,LMNA,62,0.9841269841269841,22037501.306349207,54747403.35241863,False,21,1.0,6087745.50952381,10628333.748838304,False,-1.0,3.6199774238048565,1.85598069988684,1.0,-0.5808178695515187,0.5613632102341217,0.6882640592389606,4507.5,1.3108605273599492,0.19356424182806303,0.6004224641126419,1917.0,917.0,0.008434683443342006,0.046054289160587514,1092.0,0.008434683443342006,0.1175304924242806,False,1092.0
P20930 (gene FLG):  Filaggrin,FLG,62,0.9841269841269841,8197792.82063492,20070869.550468985,False,19,0.9047619047619048,5228028.70952381,7812818.591509387,False,1.0,1.5680466340400108,0.6489684661481523,1.0,1.697250257391051,0.08964935715180243,0.2177592380617282,2447.0,0.6536315012278459,0.5151780108381089,0.7000404880956663,4246.0,809.0,0.12887732771186255,0.27168980110564384,2830.0,0.08964935715180243,0.588380991111803,False,2447.0
P04792 (gene HSPB1):  Heat shock protein beta-1,HSPB1,60,0.9523809523809523,501603483.3333333,906900528.8198371,False,21,1.0,256120932.42857143,643576687.4497707,False,-1.0,1.9584634437219284,0.9697221994894267,1.0,-1.0183501544346325,0.3085115813387226,0.47881896312872607,3611.5,1.1340745106436898,0.2600678522363621,0.6236633608383823,2484.0,943.0,0.0036984875935200884,0.03050745554984367,715.0,0.0036984875935200884,0.07336178761116197,False,715.0
P68371 (gene TUBB4B):  Tubulin beta-4B chain,TUBB4B,59,0.9365079365079365,74376842.93809524,142735550.759222,False,13,0.6190476190476191,51069143.9047619,120565663.33824076,False,1.0,1.45639494323222,0.5424016367035905,1.0,3.600411499115477,0.00031771395895056486,0.010157504202374481,178.5,0.6645293203456818,0.508216072497085,0.7000404880956663,4217.0,946.0,0.0033035523332246536,0.02911224995571386,677.0,0.00031771395895056486,0.02747487755942583,True,178.5
Q01469 (gene FABP5):  Fatty acid-binding protein 5,FABP5,62,0.9841269841269841,828470979.2063493,1308646925.6438706,False,20,0.9523809523809523,170049024.2857143,365949679.0057839,False,1.0,4.871953736202317,2.284500433558615,1.0,0.826393870541337,0.40858069932465024,0.5641269271397509,4320.0,2.2489047918481337,0.027200342335920797,0.6004224641126419,137.0,973.5,0.0012916971581548799,0.023625754005688483,322.0,0.0012916971581548799,0.045976639670740116,True,137.0
P13639 (gene EEF2):  Elongation factor 2,EEF2,57,0.9047619047619048,14482912.761904761,25224706.72128104,False,18,0.8571428571428571,11892573.466666667,27006899.16232795,False,1.0,1.2178115024891172,0.2842908446815339,1.0,0.6110100926607794,0.5411928987419986,0.6882640592389606,4478.5,0.39549215847114644,0.6935067557916967,0.821087776355083,5039.0,909.0,0.01067790234718947,0.05264823587052263,1210.0,0.01067790234718947,0.13680250265568872,False,1210.0
Q6UWP8 (gene SBSN):  Suprabasin,SBSN,56,0.8888888888888888,40165511.809523806,161168184.34649438,False,17,0.8095238095238095,19349173.19047619,41482112.7157545,False,1.0,2.0758257427398243,1.0536853403061914,1.0,0.9336653622777858,0.350476537643197,0.5366896877770311,3895.0,0.5784409808783374,0.5645517864987899,0.7000404880956663,4462.0,835.0,0.07360074326247398,0.18628157075016571,2356.0,0.07360074326247398,0.5196473778744612,False,2356.0
Q15149 (gene PLEC):  Plectin,PLEC,60,0.9523809523809523,2168590.2555555557,4469640.555483541,False,17,0.8095238095238095,1061776.880952381,2230022.9745245962,False,1.0,2.042416155839026,1.030276854851725,1.0,2.051290376273482,0.04023867711975948,0.1289972851673751,1859.5,1.0773810298230955,0.28446943485806375,0.6268024570767433,2707.0,877.0,0.026311393828426097,0.09382772001218774,1673.0,0.026311393828426097,0.25372916311485466,False,1673.0
"P06576 (gene ATP5F1B):  ATP synthase subunit beta, mitochondrial",ATP5F1B,55,0.873015873015873,15530515.650793651,27858705.695664167,False,15,0.7142857142857143,3910962.285714286,9303556.296757802,False,1.0,3.9710215840021164,1.9895102024761282,1.0,1.6903085094570334,0.09096894797535775,0.21857460476076696,2459.0,1.8542971913409532,0.06729173894899966,0.6004224641126419,509.0,930.0,0.005522808928090267,0.036327539211672026,907.0,0.005522808928090267,0.09155507342374053,False,509.0
P21333 (gene FLNA):  Filamin-A,FLNA,56,0.8888888888888888,9927378.877777778,15053753.3338353,False,16,0.7619047619047619,12500269.804761903,30016091.879671104,False,1.0,0.794173168485948,-0.33247447533216773,-1.0,1.440164599646191,0.1498208360668926,0.3047497811029939,2931.5,-0.5074798331345204,0.6131804065641926,0.7415840878901223,4933.0,917.5,0.008213860884850944,0.045272995190913365,1082.0,0.008213860884850944,0.11503261511507212,False,1082.0
Q9NZT1 (gene CALML5):  Calmodulin-like protein 5,CALML5,61,0.9682539682539683,229933840.7936508,337315421.25156635,False,19,0.9047619047619048,99196045.8095238,207151657.12579003,False,1.0,2.317973855885015,1.212864294473054,1.0,1.1832159566199225,0.23672357063785765,0.405132766042874,3485.5,1.6539709692047426,0.10195677173699307,0.6004224641126419,960.0,957.0,0.0023074530463317,0.026182772924158278,521.0,0.0023074530463317,0.05875008119688017,False,521.0
P07900 (gene HSP90AA1):  Heat shock protein HSP 90-alpha,HSP90AA1,59,0.9365079365079365,36116492.56666666,76992813.87631665,False,14,0.6666666666666666,41270297.93333333,98653982.43556453,False,1.0,0.8751207133277102,-0.19244606021955343,-1.0,3.174462231744475,0.001501144253027136,0.019519732365323672,441.5,-0.24365237264842732,0.8081086039265942,0.9318082587990069,5174.0,920.0,0.007627729049346155,0.04281026301342678,1061.0,0.001501144253027136,0.04876668922039059,True,441.5
P27482 (gene CALML3):  Calmodulin-like protein 3,CALML3,57,0.9047619047619048,77486236.07936507,154405408.56558836,False,18,0.8571428571428571,60571352.14285714,135088759.52141672,False,1.0,1.2792555116916164,0.3553044492346317,1.0,0.6110100926607794,0.5411928987419986,0.6882640592389606,4478.5,0.44272696683175994,0.6591289283249019,0.7867873522181601,4998.0,890.0,0.018439276711866324,0.0745348978139314,1475.0,0.018439276711866324,0.19540587775020024,False,1475.0
P01009 (gene SERPINA1):  Alpha-1-antitrypsin,SERPINA1,57,0.9047619047619048,591103726.3492063,938822756.880223,False,17,0.8095238095238095,300027904.0,682446119.6305909,False,1.0,1.9701625031157246,0.9783146310878791,1.0,1.1671170301911296,0.24316311126593781,0.41061735686741724,3511.0,1.294406465157067,0.1991584481632034,0.6046035276871665,1965.0,948.0,0.0031079216507366083,0.028265031354107628,656.0,0.0031079216507366083,0.06610598167564861,False,656.0
P29401 (gene TKT):  Transketolase,TKT,53,0.8412698412698413,43251247.47777778,73820111.67319354,False,12,0.5714285714285714,12455391.442857143,23667976.34754089,False,1.0,3.4724920269429043,1.795971381693165,1.0,2.559731767324025,0.010475298063836326,0.054061962152982285,1154.0,1.8572851440309173,0.06686072825804079,0.6004224641126419,505.0,933.0,0.0048666151866562845,0.03443694533040913,840.0,0.0048666151866562845,0.084812734771932,False,505.0
